Artist,Stage,Date,Time
"MRD","Bionic Jungle","Saturday May 17","TBA"
""MYLES ONEAL"","BeatBox Art Car","Saturday May 17","TBA"
"NARCISS","Bionic Jungle","Friday May 16","TBA"
"NEKTER","Forest House","Saturday May 17","TBA"
"NEON DELUZ","Forest House","Sunday May 18","TBA"
"NETSKY","Basspod","Saturday May 17","TBA"
"NGHTMRE PRESENTS: MINDFULL","Cosmic Meadow","Friday May 16","TBA"
"NICO MORENO B2B I HATE MODELS","Neon Garden","Sunday May 18","TBA"
"NILS HOFFMANN","Quantum Valley","Sunday May 18","TBA"
"NOIZU","Kinetic Field","Friday May 16","TBA"
"NORA EN PURE","Kinetic Field","Sunday May 18","TBA"
"ODD LANGUAGE","BeatBox Art Car","Sunday May 18","TBA"
"ODD MOB","Stereo Bloom","Saturday May 17","TBA"
"ODD MOB","Cosmic Meadow","Sunday May 18","TBA"
"ODDLY GODLY","BeatBox Art Car","Sunday May 18","TBA"
"OF THE TREES","Basspod","Sunday May 18","TBA"
"OGUZ","Wasteland","Friday May 16","TBA"
"OMIKI","Quantum Valley","Friday May 16","TBA"
"OMNOM","Stereo Bloom","Friday May 16","TBA"
"OMRI.","Bionic Jungle","Sunday May 18","TBA"
"ONE TRIBE PRESENTS (AMÉMÉ B2B BARON)","Ubuntu","Sunday May 18","TBA"
"ONLYNUMBERS","Wasteland","Friday May 16","TBA"
"OPPIDAN","Cosmic Meadow","Saturday May 17","TBA"
"ØTTA","Quantum Valley","Saturday May 17","TBA"
"PABLO BOZZI","Bionic Jungle","Saturday May 17","TBA"
"PAPA LU","BeatBox Art Car","Saturday May 17","TBA"
"PARTY DADS","yeEDC!","Friday May 16","TBA"
"PAUL OAKENFOLD","Quantum Valley","Friday May 16","TBA"
"PINKE","yeEDC!","Saturday May 17","TBA"
"PLS&TY","Forest House","Friday May 16","TBA"
"POCKET B2B SAM BINGA","Stereo Bloom","Sunday May 18","TBA"
"POCKET","Metaphoenix","Saturday May 17","TBA"
"PROSPA B2B JOSH BAKER","Bionic Jungle","Sunday May 18","TBA"
"PRYDA","Quantum Valley","Sunday May 18","TBA"
"QUALITY G","Metaphoenix","Saturday May 17","TBA"
"RAECOLA","Blacklight Bar","Sunday May 18","TBA"
"RAECOLA","Stereo Bloom","Sunday May 18","TBA"
"RAY VOLPE","Basspod","Saturday May 17","TBA"
"RAYRAY","Wasteland","Friday May 16","TBA"
"RAYRAY","BeatBox Art Car","Saturday May 17","TBA"
"RECESS","yeEDC!","Saturday May 17","TBA"
"RESTRICTED","Wasteland","Saturday May 17","TBA"
"REZA","Blacklight Bar","Saturday May 17","TBA"
"REZZ","Circuit Grounds","Saturday May 17","TBA"
"RICKY RETRO","yeEDC!","Saturday May 17","TBA"
"RIORDAN","Stereo Bloom","Sunday May 18","TBA"
"RIOT TEN","Basspod","Friday May 16","TBA"
"RL GRIME","Cosmic Meadow","Friday May 16","TBA"
"ROADHOUSE","yeEDC!","Sunday May 18","TBA"
"ROLLZ ROYCE","BeatBox Art Car","Friday May 16","TBA"
"ROOLER","Wasteland","Sunday May 18","TBA"
"ROXY FERRARI","yeEDC!","Saturday May 17","TBA"
"RUDIM3NTAL","Basspod","Sunday May 18","TBA"
"RZRKT B2B VASTIVE","Basspod","Saturday May 17","TBA"
"SABROSURA BOYZ","Blacklight Bar","Saturday May 17","TBA"
"SAM BINGA","Metaphoenix","Sunday May 18","TBA"
"SAM BLACKY","Forest House","Saturday May 17","TBA"
"SAMPLIFIRE","Basspod","Saturday May 17","TBA"
"SARA LANDRY","Kinetic Field","Friday May 16","TBA"
"SARAH DE WARREN","Metaphoenix","Sunday May 18","TBA"
"SARZ","Ubuntu","Friday May 16","TBA"
"SELECTIVE RESPONSE","Neon Garden","Sunday May 18","TBA"
"SHADES","Basspod","Saturday May 17","TBA"
"SHLØMO","Wasteland","Friday May 16","TBA"
"SHOWTEK (HARDSTYLE SET)","Wasteland","Sunday May 18","TBA"
"SIDEPIECE","Cosmic Meadow","Sunday May 18","TBA"
"SIHK","BeatBox Art Car","Friday May 16","TBA"
"SILCROW","BeatBox Art Car","Sunday May 18","TBA"
"SILVER PANDA","Forest House","Friday May 16","TBA"
"SIMFONIK","Blacklight Bar","Saturday May 17","TBA"
"SIMULA","Basspod","Friday May 16","TBA"
"SKEPTA MÁS TIEMPO","Neon Garden","Friday May 16","TBA"
"SKREAM B2B PARTIBOI69","Bionic Jungle","Friday May 16","TBA"
"SLANDER B2B NGHTMRE","Circuit Grounds","Sunday May 18","TBA"
"SLUGG","Bionic Jungle","Sunday May 18","TBA"
"SOOTHSLAYER","Basspod","Sunday May 18","TBA"
"SOREN","BeatBox Art Car","Friday May 16","TBA"
"SOSA B2B CLASSMATIC","Cosmic Meadow","Friday May 16","TBA"
"SOSA","Neon Garden","Saturday May 17","TBA"
"SOUL PURPOSE","Metaphoenix","Friday May 16","TBA"
"SOUTHSTAR","Neon Garden","Sunday May 18","TBA"
"SPACE 92 X POPOF PRESENT: TURBULENCES","Circuit Grounds","Saturday May 17","TBA"
"SPECIAL GUEST","Ubuntu","Friday May 16","TBA"
"SPECIAL GUEST","Ubuntu","Friday May 16","TBA"
"SPECIAL GUEST","Forest House","Saturday May 17","TBA"
"STEDICAM","Blacklight Bar","Sunday May 18","TBA"
"STELLER","Basspod","Sunday May 18","TBA"
"STOLEY","Metaphoenix","Saturday May 17","TBA"
"SUB ZERO PROJECT","Wasteland","Saturday May 17","TBA"
"SULLIVAN KING","Basspod","Friday May 16","TBA"
"SVDDEN DEATH","Basspod","Saturday May 17","TBA"
"SVDDEN DEATH: VOYD","Circuit Grounds","Sunday May 18","TBA"
"SYNNHAVEN","Forest House","Saturday May 17","TBA"
"TAPE B","Cosmic Meadow","Friday May 16","TBA"
"TAYLOR KADE (YEEDM SET)","yeEDC!","Saturday May 17","TBA"
"TCHAMI X MALAA (NO REDEMPTION)","Circuit Grounds","Saturday May 17","TBA"
"TDJ","Bionic Jungle","Saturday May 17","TBA"
"THA FUNK JUNKIE","BeatBox Art Car","Saturday May 17","TBA"
"TIËSTO","Circuit Grounds","Friday May 16","TBA"
"TIËSTO - IN SEARCH OF SUNRISE SET 2025","Kinetic Field","Sunday May 18","TBA"
"TIM CLARK","Forest House","Sunday May 18","TBA"
"TIM UNDERSCORE","Blacklight Bar","Sunday May 18","TBA"
"TOKIMONSTA","Cosmic Meadow","Sunday May 18","TBA"
"TOKIMONSTA","Metaphoenix","Sunday May 18","TBA"
"TORREN FOOT","Circuit Grounds","Saturday May 17","TBA"
"TRANCE WAX","Quantum Valley","Saturday May 17","TBA"
"TRICKSTAR","BeatBox Art Car","Sunday May 18","TBA"
"TRIPPS","Blacklight Bar","Sunday May 18","TBA"
"TRIVECTA","Cosmic Meadow","Friday May 16","TBA"
"TROUBLE","Blacklight Bar","Saturday May 17","TBA"
"TRUTH","Basspod","Sunday May 18","TBA"
"TWENTY SIX","Stereo Bloom","Saturday May 17","TBA"
"TWENTY SIX","Metaphoenix","Saturday May 17","TBA"
"UNCLE WAFFLES","Ubuntu","Sunday May 18","TBA"
"VARI","BeatBox Art Car","Sunday May 18","TBA"
"VAVO","yeEDC!","Friday May 16","TBA"
"VEGGI","Metaphoenix","Sunday May 18","TBA"
"VICTOR RUIZ","Quantum Valley","Friday May 16","TBA"
"VILLAGER","Cosmic Meadow","Saturday May 17","TBA"
"VINI VICI","Quantum Valley","Friday May 16","TBA"
"VINTAGE CULTURE","Neon Garden","Saturday May 17","TBA"
"VINTAGE CULTURE B2B DOOZIE","Forest House","Saturday May 17","TBA"
"VNSSA","Stereo Bloom","Friday May 16","TBA"
"WAKYIN","Stereo Bloom","Saturday May 17","TBA"
"WALKER & ROYCE","Stereo Bloom","Sunday May 18","TBA"
"WARD ANDREWS","Forest House","Sunday May 18","TBA"
"WATER SPIRIT","BeatBox Art Car","Friday May 16","TBA"
"WES MILLS","Forest House","Friday May 16","TBA"
"WILLIE PAKE","yeEDC!","Sunday May 18","TBA"
"X CLUB.","Bionic Jungle","Friday May 16","TBA"
"XANDRA","Kinetic Field","Saturday May 17","TBA"
"YDG","Basspod","Sunday May 18","TBA"
"YELLOW CLAW","Cosmic Meadow","Friday May 16","TBA"
"YOJI BIOMEHANIKA","Quantum Valley","Friday May 16","TBA"
"YOSUF","Wasteland","Sunday May 18","TBA"
"ZEVY","yeEDC!","Friday May 16","TBA"
